COOPID, YEAR, MONTH, DAY, precipitation
88788,2018,1,1,0.03000
88788,2018,1,2,0.00000
88788,2018,1,3,0.56000
88788,2018,1,4,0.00000
88788,2018,1,5,0.00000
88788,2018,1,6,0.00000
88788,2018,1,7,0.00000
88788,2018,1,8,0.00000
88788,2018,1,9,0.50000
88788,2018,1,10,0.00000
88788,2018,1,11,0.01000
88788,2018,1,12,0.04000
88788,2018,1,13,0.00001
88788,2018,1,14,0.00000
88788,2018,1,15,0.00000
88788,2018,1,16,0.00000
88788,2018,1,17,0.00000
88788,2018,1,18,0.00000
88788,2018,1,19,0.00000
88788,2018,1,20,0.00000
88788,2018,1,21,0.00000
88788,2018,1,22,0.10000
88788,2018,1,23,0.14000
88788,2018,1,24,0.00000
88788,2018,1,25,0.00000
88788,2018,1,26,0.00000
88788,2018,1,27,0.00000
88788,2018,1,28,3.31000
88788,2018,1,29,0.31000
88788,2018,1,30,0.00000
88788,2018,1,31,0.00000
88788,2018,2,1,0.00000
88788,2018,2,2,0.00000
88788,2018,2,3,0.00000
88788,2018,2,4,2.61000
88788,2018,2,5,0.00000
88788,2018,2,6,0.00000
88788,2018,2,7,0.00000
88788,2018,2,8,0.00000
88788,2018,2,9,0.00000
88788,2018,2,10,0.00000
88788,2018,2,11,0.00000
88788,2018,2,12,0.00000
88788,2018,2,13,0.00000
88788,2018,2,14,0.00000
88788,2018,2,15,0.00000
88788,2018,2,16,0.00000
88788,2018,2,17,0.00000
88788,2018,2,18,0.00000
88788,2018,2,19,0.00000
88788,2018,2,20,0.00000
88788,2018,2,21,0.00000
88788,2018,2,22,0.00000
88788,2018,2,23,0.00000
88788,2018,2,24,0.00001
88788,2018,2,25,0.10000
88788,2018,2,26,0.00000
88788,2018,2,27,0.00000
88788,2018,2,28,0.00000
88788,2018,3,1,0.00001
88788,2018,3,2,0.00000
88788,2018,3,3,0.00000
88788,2018,3,4,0.00000
88788,2018,3,5,0.00000
88788,2018,3,6,0.00000
88788,2018,3,7,0.11000
88788,2018,3,8,0.00000
88788,2018,3,9,0.00000
88788,2018,3,10,0.01000
88788,2018,3,11,0.00000
88788,2018,3,12,0.04000
88788,2018,3,13,0.00000
88788,2018,3,14,0.00000
88788,2018,3,15,0.00000
88788,2018,3,16,0.00000
88788,2018,3,17,0.00000
88788,2018,3,18,0.00000
88788,2018,3,19,0.00000
88788,2018,3,20,0.12000
88788,2018,3,21,0.00000
88788,2018,3,22,0.00000
88788,2018,3,23,0.00000
88788,2018,3,24,0.00000
88788,2018,3,25,0.00000
88788,2018,3,26,0.00000
88788,2018,3,27,0.00000
88788,2018,3,28,0.00000
88788,2018,3,29,0.00000
88788,2018,3,30,0.04000
88788,2018,3,31,0.03000
88788,2018,4,1,0.00000
88788,2018,4,2,0.00000
88788,2018,4,3,0.00000
88788,2018,4,4,0.00000
88788,2018,4,5,0.00000
88788,2018,4,6,0.00000
88788,2018,4,7,0.18000
88788,2018,4,8,0.01000
88788,2018,4,9,0.00001
88788,2018,4,10,1.19000
88788,2018,4,11,0.30000
88788,2018,4,12,0.00000
88788,2018,4,13,0.00000
88788,2018,4,14,0.00000
88788,2018,4,15,0.48000
88788,2018,4,16,0.00000
88788,2018,4,17,0.00000
88788,2018,4,18,0.00000
88788,2018,4,19,0.00000
88788,2018,4,20,0.00000
88788,2018,4,21,0.00000
88788,2018,4,22,0.00000
88788,2018,4,23,0.00001
88788,2018,4,24,0.00000
88788,2018,4,25,0.00000
88788,2018,4,26,0.00000
88788,2018,4,27,0.00000
88788,2018,4,28,0.00000
88788,2018,4,29,0.00000
88788,2018,4,30,0.00000
88788,2018,5,1,0.00000
88788,2018,5,2,0.00000
88788,2018,5,3,0.00000
88788,2018,5,4,0.00000
88788,2018,5,5,0.00001
88788,2018,5,6,0.00001
88788,2018,5,7,0.00000
88788,2018,5,8,0.00000
88788,2018,5,9,0.00000
88788,2018,5,10,0.00000
88788,2018,5,11,0.00000
88788,2018,5,12,0.00000
88788,2018,5,13,0.15000
88788,2018,5,14,1.70000
88788,2018,5,15,0.01000
88788,2018,5,16,0.09000
88788,2018,5,17,0.09000
88788,2018,5,18,0.00001
88788,2018,5,19,0.06000
88788,2018,5,20,1.09000
88788,2018,5,21,0.47000
88788,2018,5,22,1.39000
88788,2018,5,23,0.00000
88788,2018,5,24,0.67000
88788,2018,5,25,0.08000
88788,2018,5,26,0.53000
88788,2018,5,27,0.46000
88788,2018,5,28,0.00001
88788,2018,5,29,0.00000
88788,2018,5,30,0.86000
88788,2018,5,31,0.08000
88788,2018,6,1,0.00000
88788,2018,6,2,0.00000
88788,2018,6,3,0.00000
88788,2018,6,4,0.00000
88788,2018,6,5,0.00001
88788,2018,6,6,0.18000
88788,2018,6,7,0.01000
88788,2018,6,8,0.23000
88788,2018,6,9,0.00000
88788,2018,6,10,0.00000
88788,2018,6,11,0.00000
88788,2018,6,12,0.00001
88788,2018,6,13,0.00000
88788,2018,6,14,0.00000
88788,2018,6,15,0.02000
88788,2018,6,16,0.00000
88788,2018,6,17,0.00001
88788,2018,6,18,0.07000
88788,2018,6,19,0.04000
88788,2018,6,20,0.00000
88788,2018,6,21,0.07000
88788,2018,6,22,0.36000
88788,2018,6,23,0.00000
88788,2018,6,24,0.95000
88788,2018,6,25,0.25000
88788,2018,6,26,0.00000
88788,2018,6,27,0.00001
88788,2018,6,28,0.65000
88788,2018,6,29,0.00001
88788,2018,6,30,0.12000
88788,2018,7,1,0.00000
88788,2018,7,2,0.05000
88788,2018,7,3,0.02000
88788,2018,7,4,1.47000
88788,2018,7,5,0.62000
88788,2018,7,6,0.01000
88788,2018,7,7,0.00000
88788,2018,7,8,0.00001
88788,2018,7,9,0.00000
88788,2018,7,10,0.00000
88788,2018,7,11,0.00000
88788,2018,7,12,0.00000
88788,2018,7,13,0.14000
88788,2018,7,14,0.07000
88788,2018,7,15,0.00000
88788,2018,7,16,0.08000
88788,2018,7,17,0.19000
88788,2018,7,18,0.04000
88788,2018,7,19,0.07000
88788,2018,7,20,0.78000
88788,2018,7,21,0.76000
88788,2018,7,22,0.15000
88788,2018,7,23,0.37000
88788,2018,7,24,0.27000
88788,2018,7,25,0.18000
88788,2018,7,26,0.17000
88788,2018,7,27,0.00001
88788,2018,7,28,0.36000
88788,2018,7,29,0.00001
88788,2018,7,30,0.19000
88788,2018,7,31,0.05000
88788,2018,8,1,0.20000
88788,2018,8,2,2.23000
88788,2018,8,3,0.31000
88788,2018,8,4,0.00000
88788,2018,8,5,0.03000
88788,2018,8,6,0.00000
88788,2018,8,7,0.72000
88788,2018,8,8,0.00001
88788,2018,8,9,0.00000
88788,2018,8,10,0.02000
88788,2018,8,11,1.08000
88788,2018,8,12,0.73000
88788,2018,8,13,0.00001
88788,2018,8,14,0.01000
88788,2018,8,15,0.00001
88788,2018,8,16,0.02000
88788,2018,8,17,0.32000
88788,2018,8,18,0.00000
88788,2018,8,19,0.12000
88788,2018,8,20,0.27000
88788,2018,8,21,0.00000
88788,2018,8,22,0.10000
88788,2018,8,23,0.00001
88788,2018,8,24,0.48000
88788,2018,8,25,2.45000
88788,2018,8,26,0.34000
88788,2018,8,27,0.00000
88788,2018,8,28,1.29000
88788,2018,8,29,1.38000
88788,2018,8,30,0.33000
88788,2018,8,31,2.17000
88788,2018,9,1,0.00000
88788,2018,9,2,0.25000
88788,2018,9,3,0.42000
88788,2018,9,4,0.03000
88788,2018,9,5,0.50000
88788,2018,9,6,0.32000
88788,2018,9,7,0.87000
88788,2018,9,8,0.20000
88788,2018,9,9,0.00000
88788,2018,9,10,0.01000
88788,2018,9,11,0.18000
88788,2018,9,12,0.64000
88788,2018,9,13,1.51000
88788,2018,9,14,0.01000
88788,2018,9,15,0.00000
88788,2018,9,16,0.00000
88788,2018,9,17,0.00000
88788,2018,9,18,0.00001
88788,2018,9,19,0.00001
88788,2018,9,20,1.74000
88788,2018,9,21,0.80000
88788,2018,9,22,0.00000
88788,2018,9,23,0.97000
88788,2018,9,24,0.65000
