COOPID, YEAR, MONTH, DAY, precipitation
85663,2018,1,1,0.00001
85663,2018,1,2,0.24
85663,2018,1,3,0.5
85663,2018,1,4,0
85663,2018,1,5,0
85663,2018,1,6,0
85663,2018,1,7,0
85663,2018,1,8,0.01
85663,2018,1,9,0.02
85663,2018,1,10,0.04
85663,2018,1,11,0
85663,2018,1,12,0.1
85663,2018,1,13,0.00001
85663,2018,1,14,0
85663,2018,1,15,0.00001
85663,2018,1,16,0
85663,2018,1,17,0
85663,2018,1,18,0
85663,2018,1,19,0
85663,2018,1,20,0
85663,2018,1,21,0
85663,2018,1,22,0
85663,2018,1,23,0
85663,2018,1,24,0.01
85663,2018,1,25,0
85663,2018,1,26,0
85663,2018,1,27,0.00001
85663,2018,1,28,0
85663,2018,1,29,0.09
85663,2018,1,30,0
85663,2018,1,31,0
85663,2018,2,1,0
85663,2018,2,2,0
85663,2018,2,3,0.12
85663,2018,2,4,0
85663,2018,2,5,0
85663,2018,2,6,0.00001
85663,2018,2,7,0.00001
85663,2018,2,8,0
85663,2018,2,9,0.04
85663,2018,2,10,0.00001
85663,2018,2,11,0
85663,2018,2,12,0
85663,2018,2,13,0
85663,2018,2,14,0
85663,2018,2,15,0
85663,2018,2,16,0
85663,2018,2,17,0
85663,2018,2,18,0
85663,2018,2,19,0.1
85663,2018,2,20,0.00001
85663,2018,2,21,0
85663,2018,2,22,0.01
85663,2018,2,23,0.02
85663,2018,2,24,0.00001
85663,2018,2,25,0.00001
85663,2018,2,26,0.02
85663,2018,2,27,0.06
85663,2018,2,28,0
85663,2018,3,1,0
85663,2018,3,2,0
85663,2018,3,3,0
85663,2018,3,4,0
85663,2018,3,5,0
85663,2018,3,6,0
85663,2018,3,7,0.17
85663,2018,3,8,0
85663,2018,3,9,0
85663,2018,3,10,0.00001
85663,2018,3,11,0.00001
85663,2018,3,12,0.02
85663,2018,3,13,0
85663,2018,3,14,0
85663,2018,3,15,0
85663,2018,3,16,0
85663,2018,3,17,0
85663,2018,3,18,0
85663,2018,3,19,0
85663,2018,3,20,0
85663,2018,3,21,0
85663,2018,3,22,0
85663,2018,3,23,0
85663,2018,3,24,0
